pdb	ch	ipr
1g8y	I	IPR027417
1g8y	J	IPR027417
1g8y	K	IPR027417
1g8y	L	IPR027417
1g9x	A	IPR027417
1g9x	B	IPR027417
1g9x	C	IPR027417
1gaj	A	IPR027417
1gdd	A	IPR027417
1gfi	A	IPR027417
1gg2	A	IPR027417
1gia	A	IPR027417
1gil	A	IPR027417
1gim	A	IPR027417
1gin	A	IPR027417
1git	A	IPR027417
1gki	A	IPR027417
1gki	B	IPR027417
1gki	D	IPR027417
1gki	E	IPR027417
1gki	F	IPR027417
1gki	G	IPR027417
1gku	B	IPR027417
1gky	A	IPR027417
1gl6	A	IPR027417
1gl6	B	IPR027417
1gl6	D	IPR027417
1gl6	E	IPR027417
1gl6	F	IPR027417
1gl6	G	IPR027417
1gl7	A	IPR027417
1gl7	B	IPR027417
1gl7	D	IPR027417
1gl7	E	IPR027417
1gl7	F	IPR027417
1gl7	G	IPR027417
1gl9	B	IPR027417
1gl9	C	IPR027417
1gm5	A	IPR027417
1gnp	A	IPR027417
1gnq	A	IPR027417
1gnr	A	IPR027417
1goj	A	IPR027417
1got	A	IPR027417
1gp2	A	IPR027417
1grn	A	IPR027417
1grq	A	IPR027417
1grr	A	IPR027417
1gsi	A	IPR027417
1gtv	A	IPR027417
1gtv	B	IPR027417
1gua	A	IPR027417
1gvn	B	IPR027417
1gvn	D	IPR027417
1gwn	A	IPR027417
1gwn	C	IPR027417
1gzs	A	IPR027417
1gzs	C	IPR027417
1h65	A	IPR027417
1h65	B	IPR027417
1h65	C	IPR027417
1h8e	A	IPR027417
1h8e	B	IPR027417
1h8e	C	IPR027417
1h8e	D	IPR027417
1h8e	E	IPR027417
1h8e	F	IPR027417
1h8h	A	IPR027417
1h8h	B	IPR027417
1h8h	C	IPR027417
1h8h	D	IPR027417
1h8h	E	IPR027417
1h8h	F	IPR027417
1ha3	A	IPR027417
1ha3	B	IPR027417
1he1	C	IPR027417
1he1	D	IPR027417
1he8	B	IPR027417
1hei	A	IPR027417
1hei	B	IPR027417
1hh4	A	IPR027417
1hh4	B	IPR027417
1hon	A	IPR027417
1hon	B	IPR027417
1hoo	A	IPR027417
1hoo	B	IPR027417
1hop	A	IPR027417
1hop	B	IPR027417
1hqc	A	IPR027417
1hqc	B	IPR027417
1hqy	E	IPR027417
1hqy	F	IPR027417
1ht1	E	IPR027417
1ht1	F	IPR027417
1ht1	G	IPR027417
1ht1	I	IPR027417
1ht2	E	IPR027417
1ht2	F	IPR027417
1ht2	G	IPR027417
1ht2	H	IPR027417
1htw	A	IPR027417
1htw	B	IPR027417
1htw	C	IPR027417
1huq	A	IPR027417
1hur	A	IPR027417
1hur	B	IPR027417
1hv8	A	IPR027417
1hv8	B	IPR027417
1hy3	A	IPR027417
1hy3	B	IPR027417
1hyq	A	IPR027417
1i2d	A	IPR027417
1i2d	B	IPR027417
1i2d	C	IPR027417
1i2m	A	IPR027417
1i2m	C	IPR027417
1i4d	D	IPR027417
1i4l	D	IPR027417
1i4t	D	IPR027417
1i5s	A	IPR027417
1i6i	A	IPR027417
1i84	S	IPR027417
1i84	V	IPR027417
1ia0	K	IPR027417
1iaq	A	IPR027417
1iaq	B	IPR027417
1iaq	C	IPR027417
1ibr	A	IPR027417
1ibr	C	IPR027417
1ihu	A	IPR027417
1ii0	A	IPR027417
1ii0	B	IPR027417
1ii6	A	IPR027417
1ii6	B	IPR027417
1ii8	A	IPR027417
1ii8	B	IPR027417
1ii9	A	IPR027417
1ii9	B	IPR027417
1ije	A	IPR027417
1ijf	A	IPR027417
1im2	A	IPR027417
1in4	A	IPR027417
1in5	A	IPR027417
1in6	A	IPR027417
1in7	A	IPR027417
1in8	A	IPR027417
1ion	A	IPR027417
1ioz	A	IPR027417
1iqp	A	IPR027417
1iqp	B	IPR027417
1iqp	C	IPR027417
1iqp	D	IPR027417
1iqp	E	IPR027417
1iqp	F	IPR027417
1iwe	A	IPR027417
1iwe	B	IPR027417
1ixr	C	IPR027417
1ixs	B	IPR027417
1ixz	A	IPR027417
1iy0	A	IPR027417
1iy1	A	IPR027417
1iy2	A	IPR027417
1j2j	A	IPR027417
1j4b	A	IPR027417
1j70	A	IPR027417
1j70	B	IPR027417
1j70	C	IPR027417
1j7k	A	IPR027417
1j8m	F	IPR027417
1j8y	F	IPR027417
1j90	A	IPR027417
1j90	B	IPR027417
1j99	A	IPR027417
1jah	A	IPR027417
1jai	A	IPR027417
1jal	A	IPR027417
1jal	B	IPR027417
1jbk	A	IPR027417
1jec	A	IPR027417
1jed	A	IPR027417
1jed	B	IPR027417
1jee	A	IPR027417
1jee	B	IPR027417
1ji0	A	IPR027417
1jj7	A	IPR027417
1jjv	A	IPR027417
1jny	A	IPR027417
1jny	B	IPR027417
1jpj	A	IPR027417
1jpn	A	IPR027417
1jpn	B	IPR027417
1jqj	C	IPR027417
1jqj	D	IPR027417
1jql	B	IPR027417
1jqm	B	IPR027417
1jr3	A	IPR027417
1jr3	B	IPR027417
1jr3	C	IPR027417
1jr3	D	IPR027417
1jr3	E	IPR027417
1jr6	A	IPR027417
1juy	A	IPR027417
1jwy	A	IPR027417
1jx2	A	IPR027417
1jxm	A	IPR027417
1jxo	A	IPR027417
1jxo	B	IPR027417
1k5d	A	IPR027417
1k5d	D	IPR027417
1k5d	G	IPR027417
1k5d	J	IPR027417
1k5g	A	IPR027417
1k5g	D	IPR027417
1k5g	G	IPR027417
1k5g	J	IPR027417
1k6m	A	IPR027417
1k6m	B	IPR027417
1k8r	A	IPR027417
1kag	A	IPR027417
1kag	B	IPR027417
1kao	A	IPR027417
1kdo	A	IPR027417
1kdo	B	IPR027417
1kdp	A	IPR027417
1kdp	B	IPR027417
1kdr	A	IPR027417
1kdr	B	IPR027417
1kdt	A	IPR027417
1kdt	B	IPR027417
1kgd	A	IPR027417
1kht	A	IPR027417
1kht	B	IPR027417
1kht	C	IPR027417
1ki1	A	IPR027417
1ki1	C	IPR027417
1ki2	A	IPR027417
1ki2	B	IPR027417
1ki3	A	IPR027417
1ki3	B	IPR027417
1ki4	A	IPR027417
1ki4	B	IPR027417
1ki6	A	IPR027417
1ki6	B	IPR027417
1ki7	A	IPR027417
1ki7	B	IPR027417
1ki8	A	IPR027417
1ki8	B	IPR027417
1ki9	A	IPR027417
1ki9	B	IPR027417
1ki9	C	IPR027417
1kim	A	IPR027417
1kim	B	IPR027417
1kjw	A	IPR027417
1kjx	A	IPR027417
1kjy	A	IPR027417
1kjy	C	IPR027417
1kjz	A	IPR027417
1kk0	A	IPR027417
1kk1	A	IPR027417
1kk2	A	IPR027417
1kk3	A	IPR027417
1kk7	A	IPR027417
1kk8	A	IPR027417
1kkb	A	IPR027417
1kkf	A	IPR027417
1kmh	A	IPR027417
1kmh	B	IPR027417
1kmq	A	IPR027417
1knq	A	IPR027417
1knq	B	IPR027417
1ko1	A	IPR027417
1ko1	B	IPR027417
1ko4	A	IPR027417
1ko4	B	IPR027417
1ko5	A	IPR027417
1ko5	B	IPR027417
1ko8	A	IPR027417
1ko8	B	IPR027417
1kof	A	IPR027417
1kof	B	IPR027417
1kqm	A	IPR027417
1ksf	X	IPR027417
1ksg	A	IPR027417
1ksh	A	IPR027417
1ksj	A	IPR027417
1ksz	A	IPR027417
1ktv	A	IPR027417
1ktv	B	IPR027417
1kwo	A	IPR027417
1ky2	A	IPR027417
1ky3	A	IPR027417
1kyi	A	IPR027417
1kyi	B	IPR027417
1kyi	C	IPR027417
1kyi	D	IPR027417
1kyi	E	IPR027417
1kyi	F	IPR027417
1kyi	S	IPR027417
1kyi	T	IPR027417
1kyi	U	IPR027417
1kyi	V	IPR027417
1kyi	W	IPR027417
1kyi	X	IPR027417
1kz7	B	IPR027417
1kz7	D	IPR027417
1kzg	B	IPR027417
1kzg	D	IPR027417
1l2o	A	IPR027417
1l2t	A	IPR027417
1l2t	B	IPR027417
1l4u	A	IPR027417
1l4y	A	IPR027417
1l7v	C	IPR027417
1l7v	D	IPR027417
1l8q	A	IPR027417
1lb1	B	IPR027417
1lb1	D	IPR027417
1lb1	F	IPR027417
1lb1	H	IPR027417
1lf0	A	IPR027417
1lf5	A	IPR027417
1lfd	B	IPR027417
1lfd	D	IPR027417
1lkx	A	IPR027417
1lkx	B	IPR027417
1lkx	C	IPR027417
1lkx	D	IPR027417
1lny	A	IPR027417
1lny	B	IPR027417
1lnz	A	IPR027417
1lnz	B	IPR027417
1lon	A	IPR027417
1loo	A	IPR027417
1ls1	A	IPR027417
1ls2	A	IPR027417
1ls6	A	IPR027417
1ltq	A	IPR027417
1lv7	A	IPR027417
1lvg	A	IPR027417
1lvk	A	IPR027417
1lw7	A	IPR027417
1ly1	A	IPR027417
1m1y	E	IPR027417
1m1y	F	IPR027417
1m1y	G	IPR027417
1m1y	H	IPR027417
1m1y	M	IPR027417
1m1y	N	IPR027417
1m1y	O	IPR027417
1m1y	P	IPR027417
1m2o	B	IPR027417
1m2o	D	IPR027417
1m34	E	IPR027417
1m34	F	IPR027417
1m34	G	IPR027417
1m34	H	IPR027417
1m34	M	IPR027417
1m34	N	IPR027417
1m34	O	IPR027417
1m34	P	IPR027417
1m6n	A	IPR027417
1m74	A	IPR027417
1m7b	A	IPR027417
1m7g	A	IPR027417
1m7g	B	IPR027417
1m7g	C	IPR027417
1m7g	D	IPR027417
1m7h	A	IPR027417
1m7h	B	IPR027417
1m7h	C	IPR027417
1m7h	D	IPR027417
1m8p	A	IPR027417
1m8p	B	IPR027417
1m8p	C	IPR027417
1m8q	A	IPR027417
1m8q	D	IPR027417
1m8q	G	IPR027417
1m8q	P	IPR027417
1mab	A	IPR027417
1mab	B	IPR027417
1mez	A	IPR027417
1mf0	A	IPR027417
1mf1	A	IPR027417
1mh1	A	IPR027417
1mj1	A	IPR027417
1mkj	A	IPR027417
1mky	A	IPR027417
1mma	A	IPR027417
1mmd	A	IPR027417
1mmg	A	IPR027417
1mmn	A	IPR027417
1mnd	A	IPR027417
1mne	A	IPR027417
1mo3	A	IPR027417
1mo4	A	IPR027417
1mo5	A	IPR027417
1mo6	A	IPR027417
1moz	A	IPR027417
1moz	B	IPR027417
1mr3	F	IPR027417
1mrn	A	IPR027417
1mrs	A	IPR027417
1mt0	A	IPR027417
1mv5	A	IPR027417
1mv5	B	IPR027417
1mv5	C	IPR027417
1mv5	D	IPR027417
1mvw	A	IPR027417
1mvw	D	IPR027417
1mvw	G	IPR027417
1mvw	J	IPR027417
1mvw	M	IPR027417
1mvw	P	IPR027417
1n03	A	IPR027417
1n03	B	IPR027417
1n03	C	IPR027417
1n03	D	IPR027417
1n03	E	IPR027417
1n03	F	IPR027417
1n03	G	IPR027417
1n0u	A	IPR027417
1n0v	C	IPR027417
1n0v	D	IPR027417
1n0w	A	IPR027417
1n25	A	IPR027417
1n25	B	IPR027417
1n2c	E	IPR027417
1n2c	F	IPR027417
1n2c	G	IPR027417
1n2c	H	IPR027417
1n3b	A	IPR027417
1n3b	B	IPR027417
1n3b	C	IPR027417
1n5i	A	IPR027417
1n5j	A	IPR027417
1n5k	A	IPR027417
1n5k	B	IPR027417
1n5l	A	IPR027417
1n5l	B	IPR027417
1n6h	A	IPR027417
1n6i	A	IPR027417
1n6k	A	IPR027417
1n6l	A	IPR027417
1n6m	A	IPR027417
1n6m	B	IPR027417
1n6n	A	IPR027417
1n6o	A	IPR027417
1n6p	A	IPR027417
1n6r	A	IPR027417
1nbm	A	IPR027417
1nbm	B	IPR027417
1nbm	C	IPR027417
1nbm	D	IPR027417
1nbm	E	IPR027417
1nbm	F	IPR027417
1nf3	A	IPR027417
1nf3	B	IPR027417
1ng1	A	IPR027417
1ng9	A	IPR027417
1ng9	B	IPR027417
1nht	A	IPR027417
1ni3	A	IPR027417
1nij	A	IPR027417
1nip	A	IPR027417
1nip	B	IPR027417
1njf	A	IPR027417
1njf	B	IPR027417
1njf	C	IPR027417
1njf	D	IPR027417
1njg	A	IPR027417
1njg	B	IPR027417
1nks	A	IPR027417
1nks	B	IPR027417
1nks	C	IPR027417
1nks	D	IPR027417
1nks	E	IPR027417
1nks	F	IPR027417
1nkt	A	IPR027417
1nkt	B	IPR027417
1nl3	A	IPR027417
1nl3	B	IPR027417
1nlf	A	IPR027417
1nlf	B	IPR027417
1nlf	C	IPR027417
1nly	A	IPR027417
1nly	B	IPR027417
1nlz	A	IPR027417
1nlz	B	IPR027417
1nlz	C	IPR027417
1nlz	D	IPR027417
1nlz	E	IPR027417
1nlz	F	IPR027417
1nmx	A	IPR027417
1nmy	A	IPR027417
1nmz	A	IPR027417
1nn0	A	IPR027417
1nn1	A	IPR027417
1nn3	A	IPR027417
1nn5	A	IPR027417
1nne	A	IPR027417
1nne	B	IPR027417
1np6	A	IPR027417
1np6	B	IPR027417
1nrj	B	IPR027417
1nsf	A	IPR027417
1nst	A	IPR027417
1nvu	Q	IPR027417
1nvu	R	IPR027417
1nvv	Q	IPR027417
1nvv	R	IPR027417
1nvw	Q	IPR027417
1nvw	R	IPR027417
1nvx	Q	IPR027417
1nvx	R	IPR027417
1ny5	A	IPR027417
1ny5	B	IPR027417
1ny6	A	IPR027417
1ny6	B	IPR027417
1ny6	C	IPR027417
1ny6	D	IPR027417
1ny6	E	IPR027417
1ny6	F	IPR027417
1ny6	G	IPR027417
1ny6	H	IPR027417
1ny6	I	IPR027417
1ny6	J	IPR027417
1ny6	K	IPR027417
1ny6	L	IPR027417
1ny6	M	IPR027417
1ny6	N	IPR027417
1o18	A	IPR027417
1o18	D	IPR027417
1o18	G	IPR027417
1o18	J	IPR027417
1o18	M	IPR027417
1o18	P	IPR027417
1o19	A	IPR027417
1o19	D	IPR027417
1o19	G	IPR027417
1o19	J	IPR027417
1o19	M	IPR027417
1o19	S	IPR027417
1o1a	A	IPR027417
1o1a	D	IPR027417
1o1a	G	IPR027417
1o1a	J	IPR027417
1o1a	M	IPR027417
1o1a	P	IPR027417
1o1b	A	IPR027417
1o1b	D	IPR027417
1o1b	G	IPR027417
1o1b	J	IPR027417
1o1c	A	IPR027417
1o1c	D	IPR027417
1o1c	G	IPR027417
1o1c	J	IPR027417
1o1c	P	IPR027417
1o1d	A	IPR027417
1o1d	D	IPR027417
1o1d	G	IPR027417
1o1d	J	IPR027417
1o1d	M	IPR027417
1o1d	P	IPR027417
1o1e	A	IPR027417
1o1e	D	IPR027417
1o1e	G	IPR027417
1o1e	J	IPR027417
1o1e	M	IPR027417
1o1e	P	IPR027417
1o1f	A	IPR027417
1o1f	D	IPR027417
1o1f	G	IPR027417
1o1f	J	IPR027417
1o1g	A	IPR027417
1o1g	D	IPR027417
1o1g	G	IPR027417
1o1g	J	IPR027417
1o1g	M	IPR027417
1o1g	P	IPR027417
1o3y	A	IPR027417
1o3y	B	IPR027417
1o87	A	IPR027417
1o87	B	IPR027417
1ob2	A	IPR027417
1ob5	A	IPR027417
1ob5	C	IPR027417
1ob5	E	IPR027417
1odf	A	IPR027417
1oe0	A	IPR027417
1oe0	B	IPR027417
1oe0	C	IPR027417
1oe0	D	IPR027417
1oe9	A	IPR027417
1of1	A	IPR027417
1of1	B	IPR027417
1ofh	A	IPR027417
1ofh	B	IPR027417
1ofh	C	IPR027417
1ofi	A	IPR027417
1ofi	B	IPR027417
1ofi	C	IPR027417
1oft	A	IPR027417
1oft	B	IPR027417
1oft	C	IPR027417
1oft	D	IPR027417
1ofu	X	IPR027417
1ofu	Y	IPR027417
1oh5	A	IPR027417
1oh5	B	IPR027417
1oh6	A	IPR027417
1oh6	B	IPR027417
1oh7	A	IPR027417
1oh7	B	IPR027417
1oh8	A	IPR027417
1oh8	B	IPR027417
1ohh	A	IPR027417
1ohh	B	IPR027417
1ohh	C	IPR027417
1ohh	D	IPR027417
1ohh	E	IPR027417
1ohh	F	IPR027417
1oiv	A	IPR027417
1oiv	B	IPR027417
1oiw	A	IPR027417
1oix	A	IPR027417
1ojl	A	IPR027417
1ojl	B	IPR027417
1ojl	C	IPR027417
1ojl	D	IPR027417
1ojl	E	IPR027417
1ojl	F	IPR027417
1okk	A	IPR027417
1okk	D	IPR027417
1olo	A	IPR027417
1olo	B	IPR027417
1onb	A	IPR027417
1opx	A	IPR027417
1opx	B	IPR027417
1osn	A	IPR027417
1osn	B	IPR027417
1osn	C	IPR027417
1osn	D	IPR027417
1ot3	A	IPR027417
